timestamp,host_id,user_id,user_role,process_name,parent_process,command_text,script_type,command_length,num_arguments,execution_result,is_anomaly,anomaly_score,predicted_anomaly
03/12/2025 14:45:09,host_03,user_14,Admin,mshta.exe,cscript.exe,Remove-Registry C:\Wind,mshta,23,1,success,benign,0.00303005282761587,0
08/12/2025 08:57:17,host_04,user_02,Standard,notepad.exe,powershell.exe,Start-File C:\Users\Public.py Stop-J,notepad,36,2,success,benign,-0.020421507285543872,0
04/12/2025 09:15:22,host_06,user_20,Service,powershell.exe,powershell.exe,Set-File /tmp.txt Remove,powershell,24,2,success,benign,-0.01748467196168907,0
10/12/2025 08:05:43,host_01,user_10,Standard,powershell.exe,explorer.exe,Remove-Process /usr/bin.ps1 Get-Process,powershell,39,2,success,benign,-0.013769039366999525,0
16/12/2025 09:56:14,host_03,user_08,Standard,mshta.exe,regsvr32.exe,Stop-File,mshta,9,1,success,benign,-0.03873118771689654,0
02/12/2025 14:09:53,host_07,user_08,Standard,notepad.exe,explorer.exe,Start-Service C:,notepad,16,1,success,benign,-0.02643424907511238,0
03/12/2025 11:46:51,host_05,user_18,Standard,rundll32.exe,powershell.exe,Remove-Registry C:\Users\Public.ps1 Get-J,rundll32,41,2,success,benign,-0.02929338712464946,0
04/12/2025 10:24:15,host_05,user_15,Admin,python.exe,python.exe,Get-Process /usr/bin.ps1 Remove-File C:\Win,python,43,2,success,benign,-0.034859628455005676,0
08/12/2025 15:32:20,host_05,user_01,Service,powershell.exe,powershell.exe,Remove-Process C:\Users\Pu,powershell,26,1,success,benign,-0.016897790503536625,0
26/12/2025 12:01:22,host_08,user_06,Standard,cscript.exe,explorer.exe,Start-File /usr/b,cscript,17,1,success,benign,-0.03984150642488321,0
03/12/2025 04:04:49,host_02,user_08,Admin,cscript.exe,cmd.exe,Get-Service C:\Users\Public.py Remove-Registry C,cscript,48,2,success,benign,-0.02768247201165097,0
04/12/2025 18:59:10,host_02,user_20,Standard,cmd.exe,rundll32.exe,Get-Service /usr/bin.ps1 Remove-,cmd,32,2,success,benign,-0.035519831843775496,0
03/12/2025 10:09:07,host_06,user_04,Standard,notepad.exe,powershell.exe,Set-Process C:\Windows\Temp,notepad,27,1,success,benign,-0.02514800777248344,0
28/12/2025 16:45:58,host_01,user_09,Standard,rundll32.exe,explorer.exe,Stop-Proces,rundll32,11,1,success,benign,-0.02274537120288095,0
29/12/2025 17:14:57,host_06,user_05,Standard,cmd.exe,explorer.exe,New-Job C:\Window,cmd,17,1,success,benign,-0.03746170287473388,0
18/12/2025 17:44:54,host_05,user_15,Standard,python.exe,explorer.exe,Stop-Servic,python,11,1,success,benign,-0.052506875923705676,0
04/12/2025 16:48:38,host_04,user_08,Standard,python.exe,powershell.exe,Remove-Registry C:\Users\Public.log Stop-Pr,python,43,2,success,benign,-0.03765830209783144,0
29/12/2025 15:00:38,host_02,user_17,Standard,cmd.exe,mshta.exe,Stop-Job /usr/bin.py Get,cmd,24,2,success,benign,-0.0431985370558825,0
23/12/2025 09:35:15,host_04,user_18,Standard,rundll32.exe,cmd.exe,Get-Job C:\Users\Public.t,rundll32,25,1,success,benign,-0.025864932400658014,0
29/12/2025 17:46:18,host_05,user_16,Standard,notepad.exe,explorer.exe,Remove-File /tmp.log Sto,notepad,24,2,success,benign,-0.022628207131970945,0
12/12/2025 03:43:35,host_04,user_12,Admin,powershell.exe,wscript.exe,Set-File C:\Windows\Temp.py Set-Registry /usr/bin.txt New-Job /usr/bin.log Set-Regi,powershell,83,4,success,suspicious,-0.025772634125835137,0
12/12/2025 10:06:50,host_08,user_20,Standard,cmd.exe,python.exe,Get-Service C:\Users\Public.py Stop-Reg,cmd,39,2,success,benign,-0.030495132802424052,0
23/12/2025 14:57:15,host_05,user_16,Standard,python.exe,rundll32.exe,Get-Process C:\Users\Publi,python,26,1,success,benign,-0.04458007822652743,0
31/12/2025 11:57:01,host_01,user_08,Standard,cmd.exe,explorer.exe,Remove-Process /usr/bin.ps1 Start-Registry /tm,cmd,46,2,success,benign,-0.009727260990304798,0
